Full Name,First Name,Last Name,Specialty,Parent Organization Name,City,State,Zip,Target,Priority,Territory Description,Product1 Sales 2025,Total Product1 Scripts 2025,Total Product2 Scripts 2025,Product1 Sales JAN 2025,Change in Product1 Scripts JAN 24-25,Change in Product1 Scripts 24 vs 25,Product1 Sales 2024,Total Product1 Scripts 2024,Total Product2 Scripts 2024,Product1 Sales JAN 2024,Product1 Sales 2024.1,Product1 Sales 2019,Total Product1 Scripts 2019,Total Product2 Scripts 2019,Full_Address,Latitude,Longitude
FirstName1 LastName1,FirstName1,LastName1,Specialty9,,WINSTON SALEM,NC,29656,,3,"RDU, NC",154,162,26,22,4,26,85,90,84,38,306,581,379,2,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27103",36.0892688,-80.2707102
FirstName2 LastName2,FirstName2,LastName2,Specialty4,UNC PEDIATRICS,WINSTON SALEM,NC,26864,,1,"RDU, NC",381,323,2,15,5,-23,184,64,39,6,6,366,562,3,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27103",36.0892688,-80.2707102
FirstName3 LastName3,FirstName3,LastName3,Specialty7,THE BRENNER CHILDRENS HOSPITAL,WINSTON SALEM,NC,29330,,3,"RDU, NC",304,5,5,9,-9,34,380,15,14,3,146,379,385,38,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27157",36.0892688,-80.2707102
FirstName4 LastName4,FirstName4,LastName4,Specialty8,ATRIUM HEALTH WAKE FOREST BAPTIST MEDICAL CENTER,WINSTON SALEM,NC,26142,,2,"RDU, NC",76,377,47,46,-8,-3,497,408,39,4,348,126,56,42,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27157",36.0892688,-80.2707102
FirstName5 LastName5,FirstName5,LastName5,Specialty1,,WINSTON SALEM,NC,28913,,1,"RDU, NC",98,108,20,17,-10,76,434,185,30,43,93,251,389,42,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27157",36.0892688,-80.2707102
FirstName6 LastName6,FirstName6,LastName6,Specialty9,ATRIUM HEALTH WAKE FOREST BAPTIST MEDICAL CENTER,WINSTON SALEM,NC,25702,,1,"RDU, NC",246,190,32,18,-4,13,336,578,14,12,290,330,112,26,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27157",36.0892688,-80.2707102
FirstName7 LastName7,FirstName7,LastName7,Specialty8,WAKE FOREST BAPTIST HEALTH UROLOGY CHARLOIS,WINSTON SALEM,NC,26803,,0,"RDU, NC",169,20,44,1,-1,-42,19,415,6,23,151,6,492,46,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27157",36.0892688,-80.2707102
FirstName8 LastName8,FirstName8,LastName8,Specialty9,THE BRENNER CHILDRENS HOSPITAL,WINSTON SALEM,NC,28000,,0,"RDU, NC",138,314,42,1,-2,63,415,524,33,25,81,23,483,58,"1 MEDICAL CENTER BLVD, WINSTON SALEM, NC 27157",36.0892688,-80.2707102
FirstName9 LastName9,FirstName9,LastName9,Specialty8,EASTERN CAROLINA MEDICAL CENTER,BENSON,NC,28137,,0,"RDU, NC",187,399,37,4,6,-48,225,68,86,36,337,29,138,29,"1 MEDICAL DR, BENSON, NC 27504",35.3899954,-78.5419864
FirstName10 LastName10,FirstName10,LastName10,Specialty9,,ASHEVILLE,NC,27411,,1,"RDU, NC",251,307,34,50,6,49,213,270,27,35,244,262,451,31,"1 OAK PLZ, ASHEVILLE, NC 28801",35.597694,-82.5470306
